阶段,累计时间_s,本段推进_s,状态,最小网格质量,喉部流体温度_K,喉部固体温度_K,喉部压力_Pa,内壁热流_W_m2,最大烧蚀速度_m_s,累计烧蚀深度_mm,目标烧蚀深度_mm,相对误差_pct
100微秒,0.0001,0,已完成,0.598125835,1146.999999,300.0000028,1429999.993,1398459.151,2.78129836591E-07,0,0.2585,
200微秒,0.0002,0.0001,通过,0.598125835,1147,301.3607385,1430000,1397567.951,2.14665071031E-05,1.08723184698E-06,0.2585,
300微秒,0.0003,0.0001,通过,0.598125835,1147,302.6838608,1430000,1396685.475,2.14293661792E-05,3.2320255111E-06,0.2585,
400微秒,0.0004,0.0001,通过,0.598125835,1147,303.9708642,1430000,1395811.682,2.13930656112E-05,5.37314710061E-06,0.2585,
500微秒,0.0005,0.0001,通过,0.598125835,1147,305.2231914,1430000,1394946.524,2.13575780236E-05,7.51067928235E-06,0.2585,
600微秒,0.0006,0.0001,通过,0.598125835,1147,306.4422181,1430000,1394089.949,2.13228771501E-05,9.64470204103E-06,0.2585,
700微秒,0.0007,0.0001,通过,0.598125835,1147,307.6292564,1430000,1393241.903,2.1288937779E-05,1.17752927875E-05,0.2585,
800微秒,0.0008,0.0001,通过,0.598125835,1147,308.7855578,1430000,1392402.325,2.12557357019E-05,1.39025264615E-05,0.2585,
900微秒,0.0009,0.0001,通过,0.598125835,1147,309.9123163,1430000,1391571.154,2.12232476648E-05,1.60264756299E-05,0.2585,
1毫秒,0.001,0.0001,通过,0.598125835,1147,311.0106716,1430000,1390748.325,2.11914513235E-05,1.81472105793E-05,0.2585,
2毫秒,0.002,0.001,通过,0.598125835,1147,312.0817307,1430000,1389933.757,2.11603246451E-05,3.93230985636E-05,0.2585,
3毫秒,0.003,0.001,通过,0.598125835,1147,321.4987769,1430000,1382226.932,2.08817185003E-05,6.03441201363E-05,0.2585,
4毫秒,0.004,0.001,通过,0.598125835,1147,329.0794498,1430000,1375262.255,2.0651641642E-05,8.11108002074E-05,0.2585,
5毫秒,0.005,0.001,通过,0.598125835,1147,335.360956,1430000,1368956.904,2.04581863255E-05,0.000101665714191,0.2585,
6毫秒,0.006,0.001,通过,0.598125835,1147,340.6982621,1430000,1363229.99,2.02928522297E-05,0.000122041233469,0.2585,
7毫秒,0.007,0.001,通过,0.598125835,1147,345.3316756,1430000,1358007.48,2.01494630696E-05,0.000142262391118,0.2585,
8毫秒,0.008,0.001,通过,0.598125835,1147,349.4277476,1430000,1353223.702,2.00234547439E-05,0.000162348850025,0.2585,
