bias,fit_diagnostics,fit_groups,mae,method,n,n_shots,normalized_rmse,outer_holdout,raw_rmse,seed,source,test_groups,validation_groups
-4.698624134063721,"{'best_validation_normalized_rmse': 0.008175716735422611, 'best_epoch': 15, 'epochs_ran': 30, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11042, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.5, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.2450313568115234}",['3'],4.73938512802124,trend_residual_transfer,281,1,0.021307429450959082,1,5.476009368896484,42,femto,['1'],['2']
-5.498960971832275,"{'best_validation_normalized_rmse': 0.005775499623268843, 'best_epoch': 3, 'epochs_ran': 18, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11123, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.5, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.2450313568115234}",['3'],5.873259544372559,trend_residual_transfer,281,1,0.025283954486772706,1,6.497976303100586,123,femto,['1'],['2']
-4.963595390319824,"{'best_validation_normalized_rmse': 0.032818663865327835, 'best_epoch': 9, 'epochs_ran': 24, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11456, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.5, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.2450313568115234}",['3'],4.998012065887451,trend_residual_transfer,281,1,0.0228374570260252,1,5.869226455688477,456,femto,['1'],['2']
-6.439866542816162,"{'best_validation_normalized_rmse': 0.007870014756917953, 'best_epoch': 110, 'epochs_ran': 120, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 13026, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.5, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.2450313568115234}",['3'],6.464353084564209,trend_residual_transfer,281,1,0.02804403453485511,1,7.207316875457764,2026,femto,['1'],['2']
-6.309970378875732,"{'best_validation_normalized_rmse': 0.008701138198375702, 'best_epoch': 113, 'epochs_ran': 120, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 14407, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.5, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.2450313568115234}",['3'],6.365222930908203,trend_residual_transfer,281,1,0.027946206846125858,1,7.182175159454346,3407,femto,['1'],['2']
-4.203967571258545,"{'best_validation_normalized_rmse': 0.0074726976454257965, 'best_epoch': 11, 'epochs_ran': 26, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11042, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.45, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.283620834350586}",['3'],4.257466793060303,trend_residual_frozen,281,1,0.019565316953547733,1,5.028286457061768,42,femto,['1'],['2']
-5.786826133728027,"{'best_validation_normalized_rmse': 0.006190356332808733, 'best_epoch': 3, 'epochs_ran': 18, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11123, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.45, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.283620834350586}",['3'],6.102607250213623,trend_residual_frozen,281,1,0.026342891069701672,1,6.77012300491333,123,femto,['1'],['2']
-5.320801734924316,"{'best_validation_normalized_rmse': 0.030951138585805893, 'best_epoch': 9, 'epochs_ran': 24, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11456, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.45, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.283620834350586}",['3'],5.346141815185547,trend_residual_frozen,281,1,0.023926644009838773,1,6.1491475105285645,456,femto,['1'],['2']
-6.143495559692383,"{'best_validation_normalized_rmse': 0.008829096332192421, 'best_epoch': 21, 'epochs_ran': 36, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 13026, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.45, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.283620834350586}",['3'],6.179909706115723,trend_residual_frozen,281,1,0.027187089511856496,1,6.987082004547119,2026,femto,['1'],['2']
-6.488704204559326,"{'best_validation_normalized_rmse': 0.011074799112975597, 'best_epoch': 6, 'epochs_ran': 21, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 14407, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 0.45, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.283620834350586}",['3'],6.729670524597168,trend_residual_frozen,281,1,0.029288345737679924,1,7.52710485458374,3407,femto,['1'],['2']
