acceptance_reason,affine_calibrated_transfer_evidence,aggregation_scope,baseline_comparison_pass,beats_best_trend,beats_ridge,best_deterministic_trend_macro_raw_rmse,hybrid_transfer_evidence,improvement_vs_matched_scratch_pct,improvement_vs_scratch_pct,macro_bias,macro_mae,macro_normalized_rmse,macro_raw_rmse,macro_vs_best_trend_pct,macro_vs_ridge_pct,matched_outer_fold_losses_or_ties,matched_outer_fold_wins,matched_scratch_comparator_available,matched_scratch_criterion_pass,matched_scratch_macro_raw_rmse,matched_scratch_method,method,n_shots,outer_fold_losses_or_ties_vs_scratch,outer_fold_wins_vs_scratch,outer_folds,positive_transfer_evidence,ridge_calibrated_transfer_evidence,ridge_macro_raw_rmse,scratch_macro_raw_rmse,source,strict_positive_transfer_evidence,trend_fold_win_count
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,True,False,8.12830809354782,False,5.865947121370264,5.865947121370264,2.550604724884033,6.576751708984375,0.02840764459140268,7.575260639190674,6.803967664514969,-2.7982798605471513,2,3,True,True,8.047311687469483,trend_residual_scratch_ensemble,trend_residual_transfer_ensemble,1,2,3,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,True,False,8.12830809354782,False,5.865947121370264,5.865947121370264,2.550604724884033,6.576751708984375,0.02840764459140268,7.575260639190674,6.803967664514969,-2.7982798605471513,2,3,True,True,8.047311687469483,trend_residual_scratch_calibrated_ensemble,trend_residual_transfer_calibrated_ensemble,1,2,3,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,False,False,8.12830809354782,False,4.726401352321172,4.726401352321172,0.6199136734008789,7.519060516357422,0.03275326542157085,8.73897705078125,-7.512866763972352,-18.590217729734515,2,3,True,False,9.172506523132324,trend_residual_scratch_affine_calibrated_ensemble,trend_residual_transfer_affine_calibrated_ensemble,1,2,3,5,False,False,7.369053888320923,9.172506523132324,femto,False,3
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,True,False,8.12830809354782,False,5.865947121370264,5.865947121370264,2.550604724884033,6.576751708984375,0.02840764459140268,7.575260639190674,6.803967664514969,-2.7982798605471513,2,3,True,True,8.047311687469483,ridge_calibrated_scratch_ensemble,ridge_calibrated_transfer_ensemble,1,2,3,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
benchmark or ablation comparator,False,,False,True,False,8.12830809354782,False,3.6815913464382115,3.6815913464382115,1.8830373764038086,6.707158470153809,0.02906293564025301,7.7510425567626955,4.641378407944394,-5.183686728728902,2,3,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_residual_frozen_ensemble,1,2,3,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
benchmark or ablation comparator,False,,False,True,False,8.12830809354782,False,0.0,0.0,3.0842137336730957,7.049688720703125,0.030190482968506283,8.047311687469483,0.9964731300309857,-9.204136778311778,5,0,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_residual_scratch_ensemble,1,5,0,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
benchmark or ablation comparator,False,,False,True,False,8.12830809354782,False,0.0,0.0,3.0842137336730957,7.049688720703125,0.030190482968506283,8.047311687469483,0.9964731300309857,-9.204136778311778,5,0,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_residual_scratch_calibrated_ensemble,1,5,0,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
benchmark or ablation comparator,False,,False,False,False,8.12830809354782,False,-13.982244995119157,-13.982244995119157,2.1935986518859862,7.97313117980957,0.034376792524255045,9.172506523132324,-12.846442550736707,-24.473326727460353,4,1,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_residual_scratch_affine_calibrated_ensemble,1,4,1,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
benchmark or ablation comparator,False,,False,True,False,8.12830809354782,False,0.0,0.0,3.0842137336730957,7.049688720703125,0.030190482968506283,8.047311687469483,0.9964731300309857,-9.204136778311778,5,0,True,False,8.047311687469483,trend_residual_scratch_ensemble,ridge_calibrated_scratch_ensemble,1,5,0,5,False,False,7.369053888320923,8.047311687469483,femto,False,3
benchmark or ablation comparator,False,,False,True,False,8.12830809354782,False,8.428377394710328,8.428377394710328,3.6111048340797423,6.397105062007904,0.027660547095329023,7.369053888320923,9.34086400870542,0.0,1,4,True,True,8.047311687469483,trend_residual_scratch_ensemble,ridge_ensemble,1,1,4,5,False,False,7.369053888320923,8.047311687469483,femto,False,4
benchmark or ablation comparator,False,,False,False,False,8.12830809354782,False,-13.39373862341241,-13.39373862341241,4.132534098625183,8.212789583206177,0.03432235733733171,9.125147581100464,-12.263800486892537,-23.83065342435264,3,2,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_linear_ensemble,1,3,2,5,False,False,7.369053888320923,8.047311687469483,femto,False,0
benchmark or ablation comparator,False,,False,False,False,8.12830809354782,False,-13.998248374221282,-13.998248374221282,3.64590265750885,8.263801193237304,0.03453359076871941,9.173794364929199,-12.862286460466182,-24.49080307946419,3,2,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_quadratic_ensemble,1,3,2,5,False,False,7.369053888320923,8.047311687469483,femto,False,0
benchmark or ablation comparator,False,,False,False,False,8.12830809354782,False,-3.5890977347242865,-3.5890977347242865,2.9052287340164185,7.7941313028335575,0.031422095174481815,8.336137568950653,-2.556860210156222,-13.123579977647376,3,2,True,False,8.047311687469483,trend_residual_scratch_ensemble,trend_huber_ensemble,1,3,2,5,False,False,7.369053888320923,8.047311687469483,femto,False,0
"strict positive evidence: >=5% macro improvement over matched scratch, majority matched-fold wins, and lower macro RMSE than Ridge and best trend",False,,True,True,True,6.373815250396729,False,7.304457206281924,7.304457206281924,1.7152028381824493,4.399265456199646,0.01846576629276553,4.974346470832825,21.95653191354732,5.9573952128554675,1,4,True,True,5.366327571868896,trend_residual_scratch_ensemble,trend_residual_transfer_ensemble,2,1,4,5,True,False,5.28946053981781,5.366327571868896,femto,True,3
"strict positive evidence: >=5% macro improvement over matched scratch, majority matched-fold wins, and lower macro RMSE than Ridge and best trend",False,,True,True,True,6.373815250396729,True,7.304457206281924,7.304457206281924,1.7152028381824493,4.399265456199646,0.01846576629276553,4.974346470832825,21.95653191354732,5.9573952128554675,1,4,True,True,5.366327571868896,trend_residual_scratch_calibrated_ensemble,trend_residual_transfer_calibrated_ensemble,2,1,4,5,False,False,5.28946053981781,5.366327571868896,femto,True,3
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,False,False,6.373815250396729,False,-0.6875555396071865,-0.6875555396071865,2.452301502227783,8.464110279083252,0.035708915278729894,9.622696208953858,-50.97231141669674,-81.92207194885893,4,1,True,False,9.556986618041993,trend_residual_scratch_affine_calibrated_ensemble,trend_residual_transfer_affine_calibrated_ensemble,2,4,1,5,False,False,5.28946053981781,9.556986618041993,femto,False,1
"strict positive evidence: >=5% macro improvement over matched scratch, majority matched-fold wins, and lower macro RMSE than Ridge and best trend",False,,True,True,True,6.373815250396729,False,7.304460760572283,7.304460760572283,1.715202933549881,4.3992653608322145,0.018465765583713996,4.974346280097961,21.95653490602288,5.95739881879717,1,4,True,True,5.366327571868896,ridge_calibrated_scratch_ensemble,ridge_calibrated_transfer_ensemble,2,1,4,5,False,True,5.28946053981781,5.366327571868896,femto,True,3
benchmark or ablation comparator,False,,False,True,True,6.373815250396729,False,5.3985316480144325,5.3985316480144325,1.8050601676106452,4.529756355285644,0.01884506120945676,5.0766246795654295,20.3518696396253,4.023772531247798,1,4,True,True,5.366327571868896,trend_residual_scratch_ensemble,trend_residual_frozen_ensemble,2,1,4,5,False,False,5.28946053981781,5.366327571868896,femto,False,3
benchmark or ablation comparator,False,,False,True,False,6.373815250396729,False,0.0,0.0,1.3444626927375793,4.771778297424317,0.0199153058590332,5.366327571868896,15.806665850020092,-1.4532111823587563,5,0,True,False,5.366327571868896,trend_residual_scratch_ensemble,trend_residual_scratch_ensemble,2,5,0,5,False,False,5.28946053981781,5.366327571868896,femto,False,3
benchmark or ablation comparator,False,,False,True,False,6.373815250396729,False,0.0,0.0,1.3444626927375793,4.771778297424317,0.0199153058590332,5.366327571868896,15.806665850020092,-1.4532111823587563,5,0,True,False,5.366327571868896,trend_residual_scratch_ensemble,trend_residual_scratch_calibrated_ensemble,2,5,0,5,False,False,5.28946053981781,5.366327571868896,femto,False,3
benchmark or ablation comparator,False,,False,False,False,6.373815250396729,False,-78.09174878069628,-78.09174878069628,2.4995503425598145,8.478742599487305,0.03546620148912551,9.556986618041993,-49.94138114447438,-80.6797979888356,5,0,True,False,5.366327571868896,trend_residual_scratch_ensemble,trend_residual_scratch_affine_calibrated_ensemble,2,5,0,5,False,False,5.28946053981781,5.366327571868896,femto,False,1
benchmark or ablation comparator,False,,False,True,False,6.373815250396729,False,0.0,0.0,1.3444628834724426,4.771778297424317,0.0199153058590332,5.366327571868896,15.806665850020092,-1.4532111823587563,5,0,True,False,5.366327571868896,trend_residual_scratch_ensemble,ridge_calibrated_scratch_ensemble,2,5,0,5,False,False,5.28946053981781,5.366327571868896,femto,False,3
benchmark or ablation comparator,False,,False,True,False,6.373815250396729,False,1.4323954514822184,1.4323954514822184,1.2866384744644166,4.533373546600342,0.019626722538167697,5.28946053981781,17.01264733883563,0.0,2,3,True,False,5.366327571868896,trend_residual_scratch_ensemble,ridge_ensemble,2,2,3,5,False,False,5.28946053981781,5.366327571868896,femto,False,3
benchmark or ablation comparator,False,,False,False,False,6.373815250396729,False,-33.55477213862166,-33.55477213862166,4.373929047584534,6.316063928604126,0.026635539517593215,7.166986560821533,-12.444215579913998,-35.49560502191387,3,2,True,False,5.366327571868896,trend_residual_scratch_ensemble,trend_linear_ensemble,2,3,2,5,False,False,5.28946053981781,5.366327571868896,femto,False,0
benchmark or ablation comparator,False,,False,False,False,6.373815250396729,False,-32.73639234162033,-32.73639234162033,3.889869737625122,6.340447425842285,0.026466983670377708,7.123069620132446,-11.755194342808744,-34.66533243818835,3,2,True,False,5.366327571868896,trend_residual_scratch_ensemble,trend_quadratic_ensemble,2,3,2,5,False,False,5.28946053981781,5.366327571868896,femto,False,0
benchmark or ablation comparator,False,,False,False,False,6.373815250396729,False,-19.819249052021902,-19.819249052021902,3.6886220216751098,5.8464720964431764,0.023902876346143527,6.4298933982849125,-0.8798207303654317,-21.56047577786417,3,2,True,False,5.366327571868896,trend_residual_scratch_ensemble,trend_huber_ensemble,2,3,2,5,False,False,5.28946053981781,5.366327571868896,femto,False,0
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,False,True,7.26250388622284,False,8.390102310051207,8.390102310051207,-3.53428538441658,7.91507921218872,0.03319978247742085,8.979967403411866,-23.64836623973585,0.34028185459349075,1,4,True,True,9.802398681640625,trend_residual_scratch_ensemble,trend_residual_transfer_ensemble,3,1,4,5,False,False,9.010628938674927,9.802398681640625,femto,False,3
"strict positive evidence: >=5% macro improvement over matched scratch, majority matched-fold wins, and lower macro RMSE than Ridge and best trend",False,,True,True,True,7.26250388622284,True,6.510245265560304,6.510245265560304,1.0102907598018647,5.482578182220459,0.02274671645433916,6.148780822753906,15.335249122299201,31.760803107067844,2,3,True,True,6.576956844329834,trend_residual_scratch_calibrated_ensemble,trend_residual_transfer_calibrated_ensemble,3,2,3,5,False,False,9.010628938674927,6.576956844329834,femto,True,3
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,False,False,7.26250388622284,False,1.5214387210809037,1.5214387210809037,-1.1183600187301637,11.679375171661377,0.04835699757479298,13.077243041992187,-80.06521231334636,-45.13130138854972,2,3,True,False,13.279279136657715,trend_residual_scratch_affine_calibrated_ensemble,trend_residual_transfer_affine_calibrated_ensemble,3,2,3,5,False,False,9.010628938674927,13.279279136657715,femto,False,1
"diagnostic: did not jointly meet matched-scratch improvement, majority-fold, Ridge, and deterministic-trend criteria",False,,False,False,True,7.26250388622284,False,8.390102310051207,8.390102310051207,-3.53428538441658,7.91507921218872,0.03319978247742085,8.979967403411866,-23.64836623973585,0.34028185459349075,1,4,True,True,9.802398681640625,ridge_calibrated_scratch_ensemble,ridge_calibrated_transfer_ensemble,3,1,4,5,False,False,9.010628938674927,9.802398681640625,femto,False,3
benchmark or ablation comparator,False,,False,False,False,7.26250388622284,False,3.840469871266014,3.840469871266014,-3.4267876625061033,8.36515188217163,0.034855004794921506,9.42594051361084,-29.78912867078937,-4.609129704069108,1,4,True,False,9.802398681640625,trend_residual_scratch_ensemble,trend_residual_frozen_ensemble,3,1,4,5,False,False,9.010628938674927,9.802398681640625,femto,False,3
