alpha,bias,dataset,holdout,mae,n_test,n_train,n_validation,protocol,rmse,split,test_bias,test_groups,test_mae,test_rmse,test_rows,tier,train_groups,train_rows,validation_groups,validation_rmse,validation_rows
0.1,-2.4590367179367205,aligned_loo,1,2.8950185251102054,300,,,,3.7356204875143253,训练,,,,,,operational,,,,,
0.01,-18.264179122627734,aligned_loo,2,18.264179122627734,300,,,,18.417866275467265,训练,,,,,,operational,,,,,
0.001,-5.197002506968439,aligned_loo,3,7.970923494276878,300,,,,9.71904318933716,训练,,,,,,operational,,,,,
0.001,-4.481411809177995,aligned_loo,4,4.960479990405677,300,,,,6.0727814673651475,验证,,,,,,operational,,,,,
0.001,4.9754039224877324,aligned_loo,5,6.311944251361005,300,,,,7.9516856153968405,测试,,,,,,operational,,,,,
0.01,3.708779281063467,aligned_loo,1,6.7225059154386075,300,,,,8.99114421583944,训练,,,,,,estimated,,,,,
1.0,-31.584003798076218,aligned_loo,2,31.584003798076218,300,,,,31.826844924212924,训练,,,,,,estimated,,,,,
0.001,-6.930210711131634,aligned_loo,3,9.241825987433094,300,,,,11.467752585957985,训练,,,,,,estimated,,,,,
1.0,-11.308966134334092,aligned_loo,4,11.308966134334092,300,,,,11.38099352377142,验证,,,,,,estimated,,,,,
10.0,13.813087012294126,aligned_loo,5,13.813087012294126,300,,,,14.023496608875059,测试,,,,,,estimated,,,,,
0.1,2.1035946482703562,aligned_loo,1,5.049563309994554,300,,,,6.610066458162664,训练,,,,,,oracle,,,,,
1.0,-33.20101592756065,aligned_loo,2,33.20101592756065,300,,,,33.50880995998611,训练,,,,,,oracle,,,,,
100.0,2.2069118418366878,aligned_loo,3,4.72035067940568,300,,,,6.05044263144064,训练,,,,,,oracle,,,,,
1.0,-13.780789393939136,aligned_loo,4,13.780789393939136,300,,,,13.897840848040364,验证,,,,,,oracle,,,,,
10.0,16.215444874548243,aligned_loo,5,16.215444874548243,300,,,,16.538065455787663,测试,,,,,,oracle,,,,,
0.001,,aligned_fixed_split,,,300,900,300,"predeclared trajectory split: tracks 1-3 train, 4 validation, 5 test",,,6.366924033775946,['5'],6.369015139666929,7.625480606135182,,operational,"['1', '2', '3']",,['4'],4.382401582413048,
10.0,,aligned_fixed_split,,,300,900,300,"predeclared trajectory split: tracks 1-3 train, 4 validation, 5 test",,,9.964009462913124,['5'],9.964009462913124,10.42071370595313,,estimated,"['1', '2', '3']",,['4'],7.4520851062606415,
10.0,,aligned_fixed_split,,,300,900,300,"predeclared trajectory split: tracks 1-3 train, 4 validation, 5 test",,,10.271672537304672,['5'],10.271672537304672,10.616687603358066,,oracle,"['1', '2', '3']",,['4'],8.848102272756242,
1000.0,,low_error,,,,,,,,,6.1170956057524695,['5'],6.783681183721431,8.161934941914414,2800,noisy,"['1', '2', '3']",8400,['4'],10.843161886105724,2800
1000.0,,low_error,,,,,,,,,6.741141249418142,['5'],7.082572298797406,8.425751819764532,2800,observable,"['1', '2', '3']",8400,['4'],11.03232173969046,2800
0.001,,low_error,,,,,,,,,0.001385289931675995,['5'],0.001385289931675995,0.0013944783659611281,2800,oracle,"['1', '2', '3']",8400,['4'],0.0007412779553847141,2800
