bias,fit_diagnostics,fit_groups,mae,method,n,n_shots,normalized_rmse,raw_rmse,ridge_alpha,ridge_validation_rmse,seed,source,test_groups,validation_groups
-58.3448486328125,"{'best_validation_normalized_rmse': 0.33053985238075256, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1042}",['1'],64.85769653320312,transfer,281,1,0.30680688340424606,82.53105163574219,,,42,femto,['5'],['4']
-55.80601119995117,"{'best_validation_normalized_rmse': 0.38554030656814575, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1123}",['1'],62.5578498840332,transfer,281,1,0.30880969873591424,83.06980895996094,,,123,femto,['5'],['4']
-74.70762634277344,"{'best_validation_normalized_rmse': 0.41280731558799744, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 1042}",['1'],81.0246810913086,frozen_encoder,281,1,0.3784172029743407,101.79422760009766,,,42,femto,['5'],['4']
-75.49625396728516,"{'best_validation_normalized_rmse': 0.4475432336330414, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 1123}",['1'],79.80342102050781,frozen_encoder,281,1,0.38087925680507956,102.4565200805664,,,123,femto,['5'],['4']
-46.94390106201172,"{'best_validation_normalized_rmse': 0.29687416553497314, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1042}",['1'],48.01939010620117,scratch,281,1,0.24930254854677336,67.06238555908203,,,42,femto,['5'],['4']
-49.587711334228516,"{'best_validation_normalized_rmse': 0.355915367603302, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1123}",['1'],51.33025360107422,scratch,281,1,0.2953034865368698,79.43663787841797,,,123,femto,['5'],['4']
7.306710243225098,,['1'],7.306710243225098,ridge,281,1,0.03439119048278128,9.251230239868164,0.0001,1.0449960231781006,,femto,['5'],['4']
-57.0754280090332,,['1'],63.7077751159668,transfer_ensemble,281,1,0.30737766989101706,82.6845932006836,,,,femto,['5'],['4']
-75.10193634033203,,['1'],80.38946533203125,frozen_encoder_ensemble,281,1,0.37948520476046993,102.0815200805664,,,,femto,['5'],['4']
-48.265804290771484,,['1'],49.48773193359375,scratch_ensemble,281,1,0.2713252071111176,72.98648071289062,,,,femto,['5'],['4']
7.306710243225098,,['1'],7.306710243225098,ridge_ensemble,281,1,0.03439119048278128,9.251230239868164,,,,femto,['5'],['4']
-53.319400787353516,"{'best_validation_normalized_rmse': 0.37180420756340027, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2042}","['1', '2']",66.20292663574219,transfer,281,2,0.3255455272348397,87.57174682617188,,,42,femto,['5'],['4']
-43.605167388916016,"{'best_validation_normalized_rmse': 0.31372496485710144, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2123}","['1', '2']",48.15260314941406,transfer,281,2,0.2570696976105077,69.15174865722656,,,123,femto,['5'],['4']
-67.06007385253906,"{'best_validation_normalized_rmse': 0.41763681173324585, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 2042}","['1', '2']",74.90339660644531,frozen_encoder,281,2,0.36801255236771024,98.99537658691406,,,42,femto,['5'],['4']
-60.243194580078125,"{'best_validation_normalized_rmse': 0.3870418667793274, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 2123}","['1', '2']",68.43089294433594,frozen_encoder,281,2,0.3311137373119482,89.06959533691406,,,123,femto,['5'],['4']
-69.82270050048828,"{'best_validation_normalized_rmse': 0.42017698287963867, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2042}","['1', '2']",76.64329528808594,scratch,281,2,0.3609095009729322,97.08465576171875,,,42,femto,['5'],['4']
-52.61201095581055,"{'best_validation_normalized_rmse': 0.3309115767478943, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2123}","['1', '2']",57.33415985107422,scratch,281,2,0.278169284522755,74.8275375366211,,,123,femto,['5'],['4']
6.265874862670898,,"['1', '2']",6.549773216247559,ridge,281,2,0.03235068906195545,8.702335357666016,0.01,0.9851158261299133,,femto,['5'],['4']
-48.462284088134766,,"['1', '2']",56.42182540893555,transfer_ensemble,281,2,0.290565972877701,78.16224670410156,,,,femto,['5'],['4']
-63.651634216308594,,"['1', '2']",71.50473022460938,frozen_encoder_ensemble,281,2,0.3493458630870266,93.97403717041016,,,,femto,['5'],['4']
-61.21736145019531,,"['1', '2']",66.98365783691406,scratch_ensemble,281,2,0.31914151556872966,85.84906768798828,,,,femto,['5'],['4']
6.265874862670898,,"['1', '2']",6.549773216247559,ridge_ensemble,281,2,0.03235068906195545,8.702335357666016,,,,femto,['5'],['4']
-43.029212951660156,"{'best_validation_normalized_rmse': 0.3524891436100006, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3042}","['1', '2', '3']",54.231422424316406,transfer,281,3,0.2843706776218343,76.49571228027344,,,42,femto,['5'],['4']
-47.120792388916016,"{'best_validation_normalized_rmse': 0.3147241175174713, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3123}","['1', '2', '3']",54.14395523071289,transfer,281,3,0.2576946839967182,69.31986999511719,,,123,femto,['5'],['4']
-57.3568229675293,"{'best_validation_normalized_rmse': 0.41869133710861206, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 3042}","['1', '2', '3']",75.14684295654297,frozen_encoder,281,3,0.3555340394654682,95.63865661621094,,,42,femto,['5'],['4']
-64.5539321899414,"{'best_validation_normalized_rmse': 0.3975926637649536, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 3123}","['1', '2', '3']",74.07823944091797,frozen_encoder,281,3,0.3421734948140538,92.04467010498047,,,123,femto,['5'],['4']
-44.95445251464844,"{'best_validation_normalized_rmse': 0.3295214772224426, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3042}","['1', '2', '3']",51.10689926147461,scratch,281,3,0.27050579879363673,72.76605987548828,,,42,femto,['5'],['4']
